Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
IMASM,-4.961827545828239,76.77499733333333,Sanayi,2.490000009536743,2.619999885559082
INFO,-3.4782576245485726,71.06486613333334,Finans,2.2200000286102295,2.299999952316284
INTEM,-3.241411246812873,127.7613312,Tüketim,200.0,206.6999969482422
ISGSY,-3.19437019232209,88.98577066666667,Diğer,35.7599983215332,36.939998626708984
ISYAT,-0.6578909805936686,40.41741653333333,Finans,7.550000190734863,7.599999904632568
ISSEN,-1.0804340145521774,116.5679872,Tüketim,8.239999771118164,8.329999923706055
IZMDC,-1.3618618023832767,253.50000640000002,Hammadde,5.070000171661377,5.139999866485596
IZFAS,0.7473841384093021,132.69375146666667,Temel Tüketim,67.4000015258789,66.9000015258789
KFEIN,-5.583756345177665,61.2249984,Teknoloji,93.0,98.5
KAPLM,0.6852941869643286,127.33333333333333,Tüketim,191.0,189.6999969482422
KRDMB,-2.7777790763539407,1105.3671082666667,Hammadde,23.799999237060547,24.479999542236328
KRTEK,-1.3985970741052862,36.29391786666667,Tüketim,31.020000457763672,31.459999084472656
KARYE,-2.471040150867597,46.30999893333333,Kamu Hizmetleri,25.260000228881836,25.899999618530273
KARTN,-3.2588453913165414,259.75000746666666,Tüketim,103.9000015258789,107.4000015258789
KATMR,-2.7649852114563966,75.72297386666666,Sanayi,2.109999895095825,2.1700000762939453
KRVGD,-1.3100424405900453,162.71849813333333,Temel Tüketim,2.259999990463257,2.2899999618530273
TCKRC,-0.6824103200681318,214.42667519999998,Sanayi,37.84000015258789,38.099998474121094
KZBGY,-2.76242400133128,211.2,Gayrimenkul,5.28000020980835,5.429999828338623
KLMSN,-3.6321431885283735,65.8416,Sanayi,24.940000534057617,25.8799991607666
KOCMT,0.0,242.66666666666666,Sanayi,16.0,16.0
KLSYN,3.67132947289735,85.27735466666667,Tüketim,5.929999828338623,5.71999979019165
